origin,destination,passengers
16,4,570085
4,16,567472
45,19,65365
25,13,143832
3,5,942494
13,25,145153
5,3,933588
44,27,175166
27,44,171705
43,20,50709
15,27,243664
26,25,142047
25,26,140065
3,17,228739
15,10,422593
10,15,415391
12,13,527059
17,13,46270
15,32,225111
38,44,32843
50,21,84113
21,50,85976
40,30,82603
40,45,140
11,30,37146
19,21,230675
11,43,8359
41,15,73716
1,44,194354
33,23,49114
50,9,35428
9,50,36078
6,28,197382
1,21,469507
21,1,467561
2,12,417081
13,11,466559
11,13,467182
3,10,533406
6,50,135643
4,10,619252
4,32,247874
32,4,248831
5,4,1059428
4,5,1043026
28,5,255458
32,13,102326
4,11,733587
11,4,733569
50,23,3705
23,50,4034
50,5,58077
5,50,60031
1,5,795557
50,10,79826
10,50,83861
21,12,96731
28,10,141342
19,5,405126
5,19,414909
17,21,300398
13,44,112814
50,11,65
11,50,205
9,12,346448
1,32,193134
1,10,494181
10,1,502447
5,7,416733
7,5,415556
5,42,15557
42,5,13338
23,16,54634
5,16,548772
16,5,543320
32,25,172
11,27,62998
27,11,62253
31,11,550238
11,31,545515
24,5,333904
31,40,181655
40,31,177410
11,34,371860
39,7,4
17,10,426662
10,17,433258
12,5,840445
17,5,1278305
5,17,1280487
17,36,45782
31,5,1043872
5,31,1048898
12,11,762902
23,14,166616
31,32,125766
31,10,373720
10,31,361011
14,11,507575
16,10,82410
10,16,86224
48,9,125889
3,31,158834
31,3,164308
13,31,91264
31,4,96009
4,31,92468
12,31,61175
31,12,61810
17,31,75430
11,9,446162
26,21,157784
29,46,1430
19,49,74655
46,19,92339
49,24,80614
47,29,132822
40,41,313568
6,23,728979
21,6,505238
5,36,365471
37,1,569746
35,5,142485
45,9,279965
34,25,2485
20,7,210264
45,30,289884
33,29,207147
24,38,163726
26,28,234401
46,20,107853
20,27,145400
8,34,182638
34,14,177360
28,3,328971
3,28,333625
41,2,469552
21,3,455885
26,23,239150
23,26,247867
23,30,149331
23,8,186085
41,6,559058
24,49,82168
35,37,202736
14,25,273456
39,23,580423
8,27,421065
28,34,98396
34,28,95991
8,33,219168
28,26,226661
32,6,416968
30,29,261939
34,15,73388
3,41,391357
30,41,44716
6,15,526115
26,40,48708
40,26,44143
40,15,115
14,26,162760
39,34,114
34,40,72
40,34,68
14,18,383855
18,14,379371
8,35,94
30,5,183602
37,21,48194
34,44,58890
44,34,63651
20,5,278026
38,24,164973
30,28,220582
24,16,471907
27,20,154263
18,28,358505
37,38,7717
30,23,149905
30,11,36717
34,49,67681
49,34,68973
39,6,347949
3,33,231559
15,14,311999
28,41,42568
41,28,44299
6,5,1134640
29,28,222921
39,32,270602
6,32,416769
32,40,217204
40,39,109
41,5,1174
26,35,176683
23,6,737797
8,28,337530
40,5,416923
6,21,487727
41,40,325470
6,39,348795
6,36,548330
33,47,57173
14,49,120127
8,29,90261
33,34,20341
8,14,497613
49,20,116857
39,35,45716
41,48,109
35,26,172235
35,30,410063
9,41,473499
24,47,65907
9,40,248478
38,20,101427
4,30,138994
32,41,119247
26,9,334698
20,33,103199
40,28,8144
28,11,39989
23,25,52813
39,48,156458
34,39,18
41,9,449520
11,21,276108
28,30,230256
20,37,184480
29,30,263515
9,30,329643
20,34,98426
16,34,56261
20,29,152131
29,20,156663
6,35,221322
25,6,224761
27,41,50
39,49,94
5,34,350869
41,39,304216
27,28,186492
30,6,269755
20,18,620289
6,26,405729
34,30,236
35,24,2456
29,41,37043
6,20,121704
11,6,632933
28,38,156904
41,21,224781
30,21,78012
21,30,76154
41,30,41365
39,30,82946
15,40,176
32,37,54
39,31,202050
34,11,359676
48,41,8
41,31,23215
6,41,555333
30,35,420042
41,11,266700
8,24,404979
21,41,223163
30,34,226
26,5,505186
24,44,256712
44,24,262674
9,27,105624
27,9,107554
28,8,331138
34,7,197604
7,34,202871
34,23,120628
32,14,56991
11,41,266988
9,6,785356
5,27,137376
40,48,139174
48,40,139858
41,24,297
31,41,26553
5,14,555772
35,8,105
27,5,130551
35,45,179115
45,35,185456
35,29,227458
35,16,126736
35,39,42680
12,34,177930
5,40,428584
14,29,148921
42,46,100600
26,34,117511
34,26,114292
39,41,296562
6,11,639683
21,37,50241
11,14,521009
39,4,34438
19,46,90775
23,39,594830
28,29,221480
45,6,201011
28,39,22242
23,34,124302
26,41,81674
45,5,156121
11,40,206
39,11,1038
28,7,307584
34,16,53818
21,45,88246
16,14,566174
26,39,143889
40,11,215
40,21,218038
21,40,221729
11,26,226005
11,24,163218
11,20,114367
14,28,213632
6,16,244091
20,11,111286
42,26,532
48,39,152991
48,21,24127
39,40,4
5,41,1246
36,40,422
41,23,15
24,34,11578
26,30,266832
13,30,126336
47,34,107588
37,35,213756
49,29,158458
6,40,609359
40,6,619996
26,37,179763
28,47,88065
11,32,386126
32,39,264010
34,29,89593
7,28,305691
23,21,294644
2,6,1026838
24,28,227676
27,34,113983
34,42,62877
43,34,21905
6,3,842627
20,47,140947
42,17,155778
45,21,92772
20,26,147455
39,26,145359
29,6,367681
5,48,511292
32,48,95633
29,47,131073
36,6,545236
23,11,570265
40,10,309063
35,6,222818
29,21,85834
35,17,1
3,14,430166
2,17,167885
39,28,23356
28,40,9625
39,1,84354
16,11,165879
33,4,202184
21,32,277040
29,12,264
42,49,61147
3,6,851444
26,6,392183
34,21,44025
21,34,44966
16,21,63236
6,25,237178
41,34,192
11,48,304035
12,10,266982
16,40,373
6,48,105466
6,31,299368
44,21,2
21,39,165292
6,45,207162
11,29,7648
48,11,305200
6,7,169142
37,32,65
31,23,235877
44,11,4
48,26,4
36,5,371438
41,32,118440
36,28,5
24,6,245904
31,39,201210
25,11,38918
21,48,25479
35,11,99
11,35,150
44,47,6
21,24,52287
12,35,180
30,40,76999
23,28,67172
46,5,74996
5,46,77385
20,40,19
46,29,5352
47,25,92174
19,24,175292
21,7,303669
20,39,53
39,20,8
17,39,28437
24,19,180330
26,11,230738
23,40,384596
29,24,179975
20,28,205319
40,23,372707
30,42,12142
20,8,359598
28,24,228845
29,33,208159
7,49,228527
49,7,219773
34,20,99027
24,27,312511
48,23,111156
24,25,997
34,17,39807
37,30,247328
25,28,169786
38,27,134225
25,29,198277
16,38,257850
13,20,292956
29,26,175523
7,30,253551
45,20,1816
24,35,1846
37,6,134760
23,29,141098
47,24,63174
26,29,176139
30,25,181430
6,29,386571
11,37,40029
11,19,180316
38,32,144
40,7,1
19,29,178118
9,23,619078
24,29,179010
20,13,291856
18,20,598639
5,26,502883
14,16,558020
29,23,147014
39,37,152
21,16,65291
1,11,390663
11,1,392481
44,3,63079
12,39,97
28,33,123853
21,23,292555
14,21,154964
14,5,540154
7,25,642109
29,14,148184
41,29,36563
6,24,248421
41,7,4
31,6,296387
48,30,4
19,22,226911
28,36,5
30,37,250998
15,6,519349
17,6,431824
23,48,117425
20,25,455739
20,6,117970
11,16,166440
35,3,104339
4,8,477409
9,36,343343
24,45,6193
28,23,72851
37,9,67556
27,24,320207
44,7,882135
1,24,646967
7,6,169161
46,28,3938
34,6,96873
13,35,1776
21,9,503887
22,28,232148
9,26,336828
20,22,262829
50,20,76953
29,35,217546
2,39,308568
19,30,600
7,3,645474
26,38,96269
41,26,81701
14,20,370297
5,43,137273
36,45,255
33,39,12719
21,31,79623
46,33,1073
38,1,565792
27,38,135352
30,1,337768
14,46,85673
26,42,166
40,20,1
4,33,194258
19,33,159879
26,2,476624
41,13,156787
5,29,163643
29,5,168344
11,28,42411
41,20,2
11,44,2
33,20,103226
14,41,3
12,37,166921
39,21,164817
28,35,162116
25,21,64893
25,9,109087
35,28,157665
37,20,180572
20,41,8
17,25,83955
7,26,320065
26,7,314844
31,26,29418
45,7,99676
26,31,29010
1,6,689068
49,40,12
20,46,108280
8,38,381106
14,12,355897
14,24,422040
19,28,213251
22,29,192874
12,29,457
33,26,137955
29,22,183399
37,26,172862
1,28,505780
34,8,183607
25,24,1879
46,34,67105
21,36,196537
46,24,78219
40,9,239151
36,9,340908
33,25,109481
24,33,126228
27,25,298597
9,3,606391
30,9,339427
3,19,363702
9,35,204081
34,3,153503
26,49,5251
24,3,435394
43,40,40574
26,36,56042
34,43,21329
16,30,73758
25,45,72814
2,30,351302
34,46,67100
28,46,4804
20,1,1078549
49,8,226238
32,23,175568
23,32,179220
43,15,91706
4,15,509656
25,1,662504
22,34,1477
19,34,125573
34,12,199819
24,12,28518
22,24,54474
34,19,127945
4,19,305961
24,22,60540
47,33,59130
19,4,317377
18,12,41
1,34,309632
33,19,158636
28,1,501040
47,19,85789
12,47,158518
28,19,215205
1,49,302402
49,38,29994
38,49,31685
1,46,407823
12,49,121779
37,27,123349
1,25,663298
16,28,217469
12,15,208801
29,15,258218
15,29,247059
16,7,479266
34,38,110266
29,50,110122
2,21,725123
43,2,409152
12,19,217739
12,43,60947
28,12,174899
15,30,4330
30,2,333291
19,14,279562
9,2,1006006
15,28,196587
27,12,338793
20,9,40851
12,38,203499
2,9,997570
12,20,697183
38,34,110344
6,2,1014894
14,30,48
20,38,103820
29,9,360147
49,17,81361
15,49,66247
15,46,125208
32,21,277031
32,5,429983
4,2,919012
10,30,46164
21,11,277999
30,32,3434
32,30,3235
5,35,138512
24,39,266
2,35,273012
5,30,178193
6,27,124847
8,12,398958
12,8,396473
33,24,122280
30,15,4051
20,24,349901
30,24,2990
34,27,109092
2,29,365037
25,30,179928
49,25,119441
15,25,185474
5,12,860957
17,8,294859
39,17,30803
18,17,975
18,24,297
18,27,332190
18,47,121641
8,17,298161
38,22,136119
33,18,260758
17,38,274331
50,18,112175
18,33,270451
18,38,260646
18,8,432858
38,17,270990
24,14,436075
46,18,113967
22,38,131527
47,14,104991
38,12,204162
46,17,80906
46,25,107987
18,19,362977
17,46,82122
8,18,443582
17,47,93704
43,18,144625
19,47,82877
38,18,257726
18,46,118535
1,18,884504
47,17,95724
17,28,141380
18,49,156940
28,18,350459
19,12,214296
18,43,144054
43,1,355609
47,46,344
18,1,874872
8,22,289817
47,49,1342
46,49,418
43,24,45440
43,33,100218
37,34,63861
12,42,259088
38,45,386
29,4,313
27,7,24135
11,36,50545
36,11,54595
17,24,857
38,8,394179
34,24,8571
12,25,192
47,50,237
50,29,111101
47,4,285813
49,12,120563
49,46,265
50,38,7681
36,41,268608
38,47,10353
46,8,172607
47,8,162085
24,8,387683
32,36,178173
36,32,180198
27,37,127131
8,19,283359
19,8,284147
19,38,125771
46,15,121816
34,1,303728
7,38,243109
7,37,245943
37,7,239839
1,20,1070320
29,8,91065
8,4,490566
38,14,233289
15,47,80317
12,46,108695
8,16,390853
16,8,397097
37,8,217089
15,2,706588
46,30,60034
2,45,306534
46,27,114894
9,45,271144
35,7,226830
23,2,640630
7,24,824533
2,5,791620
49,27,92009
35,2,295215
2,36,445505
49,37,163
39,2,292504
2,11,748590
11,2,701850
38,15,125828
24,20,351377
27,17,294822
16,49,60775
28,2,370306
35,15,1231
2,37,254696
37,24,106835
8,45,151389
15,45,80413
47,35,54
14,7,607794
19,16,220652
20,45,2234
20,4,383547
14,27,296123
47,2,260067
5,45,149916
19,45,63696
21,46,3481
45,34,72850
2,34,419481
6,4,735354
36,15,69171
23,15,227486
15,39,32977
39,15,32618
11,15,270895
35,14,669
2,20,249258
20,2,247628
6,1,695105
6,19,471358
14,2,389692
47,6,124506
19,32,55594
23,49,1079
34,5,343041
29,36,45486
9,16,208686
47,11,47170
23,9,619979
14,8,496147
37,29,127734
35,36,39076
36,2,429113
32,2,465012
38,28,151566
46,14,86014
30,27,137974
27,30,140699
45,8,161905
32,35,118
16,9,198356
36,34,37077
39,27,86
17,34,38626
1,37,568392
34,4,204805
8,37,211191
30,4,139558
4,14,677305
45,4,146258
5,15,458257
12,45,68891
2,14,385063
2,49,180807
45,11,33179
45,24,8272
27,2,352165
36,46,504
39,24,81
41,14,42
8,47,164337
45,2,333167
8,15,219683
15,8,218555
27,29,207573
19,2,365948
4,36,137514
36,21,195947
30,46,62322
24,15,148170
2,28,370580
45,15,84142
45,47,44
9,15,574899
38,2,206569
34,9,59670
7,8,684996
1,47,375340
7,19,532983
30,19,1030
46,16,72716
16,46,77348
30,38,44562
47,16,95966
2,24,315632
15,11,272310
3,32,280980
24,9,325279
14,36,12840
37,45,43681
37,46,2284
28,20,193540
46,35,41068
8,30,36470
30,36,53558
15,16,145199
9,1,493976
11,47,48720
1,8,399970
34,47,106312
8,7,674129
35,1,289298
29,17,47
4,37,193747
37,4,188001
24,7,822524
12,7,878379
30,7,248530
7,45,92994
4,45,137168
34,45,69441
9,4,719267
2,7,557315
4,24,502025
29,2,386146
37,47,4926
7,29,340139
2,38,202930
15,5,461868
47,9,96384
19,7,537065
37,2,256782
14,15,308719
35,34,86
36,30,50640
15,36,68635
36,29,43260
12,41,100211
12,36,38415
7,32,54449
4,21,263873
2,8,345805
30,17,50
9,34,63104
27,6,124770
6,34,95894
36,8,35512
5,20,284779
36,16,50
20,19,368597
11,45,29558
7,11,152547
16,32,51
8,46,176435
1,12,656357
34,37,63868
16,35,117335
20,12,702994
20,17,620608
45,16,55234
34,35,205
9,47,100675
37,11,38926
24,21,51874
23,12,214976
28,49,91697
47,15,78421
1,35,291330
15,38,127826
15,12,205813
47,45,53
15,7,464210
17,49,85584
19,37,116736
45,46,180
9,37,65734
12,21,95297
50,49,880
29,27,212548
20,14,373457
14,35,683
11,7,154068
45,37,44591
17,20,606253
9,24,323066
29,37,120650
9,29,346356
9,49,54436
11,8,183603
35,21,47954
30,12,376
2,16,297190
36,37,207
11,49,36278
32,12,115531
49,50,519
29,3,34746
37,19,112611
2,41,489528
17,33,225
47,7,295088
40,2,231051
15,35,4146
37,5,174088
40,16,250
3,35,106163
1,2,780357
33,9,232992
16,23,53181
49,14,117800
3,15,379981
1,9,485938
9,19,299294
10,34,202900
25,15,185497
3,23,461745
35,25,143136
35,12,253
23,10,529713
2,19,356227
32,45,254
23,24,92333
17,32,128036
34,50,46460
12,27,335609
24,11,161337
1,23,296603
32,1,196520
1,29,357561
12,30,360
3,12,402948
4,34,201077
10,11,670936
16,2,292680
19,23,156020
41,16,69
40,17,69
49,16,57862
19,6,466284
29,11,5997
25,18,82648
3,45,413076
45,3,453123
8,25,338507
43,46,391
28,25,162973
33,17,246
18,34,108124
19,18,361947
43,19,105396
33,49,50622
18,45,632
36,10,429008
38,19,129861
9,10,756267
18,37,139382
17,7,643860
43,17,36178
1,22,668316
1,13,493161
6,10,817066
13,49,89335
10,23,530597
12,18,1659
37,25,126394
18,3,723248
38,25,135137
22,8,280365
43,21,97723
46,42,99326
3,25,176098
22,16,432219
22,1,657826
49,33,43570
26,1,494927
13,34,210412
24,18,7398
42,34,69042
38,37,7337
15,24,153290
26,8,251453
13,38,74191
18,16,795895
16,42,1461
42,20,8595
14,43,62475
22,17,112134
17,12,1914
7,42,49702
20,42,2352
42,7,52478
22,27,218315
17,22,112478
7,44,870144
27,22,235322
28,13,233799
26,14,165092
42,12,265026
38,26,101305
44,22,48955
4,25,276161
40,29,92252
18,22,308826
45,13,274389
35,13,1028
18,35,122589
13,17,46958
47,18,115189
9,21,507897
14,45,31728
3,47,188476
3,24,435077
26,3,516785
19,43,109327
37,13,368482
21,26,158796
18,26,1493
3,38,224966
13,3,547995
13,6,556712
18,7,629981
3,13,537497
37,49,417
42,25,131523
19,10,291146
18,15,228674
13,24,183423
15,18,233694
3,34,157158
2,10,745152
10,3,532683
3,49,172879
21,25,67160
21,4,269516
16,19,221805
4,18,1018424
24,1,639317
13,19,227127
38,46,6277
1,26,491602
13,18,386164
19,3,362795
43,28,122777
13,15,181172
15,13,181784
15,3,379200
22,19,230025
19,25,197927
1,45,370698
18,4,1006067
11,10,669434
34,10,197679
30,10,44926
10,39,475575
10,42,22808
10,4,629437
42,10,22164
10,9,746158
27,39,3
25,46,100407
41,43,727
22,26,47245
3,18,740202
13,5,663112
44,12,308087
41,47,661
3,43,284362
49,47,711
12,2,414809
16,47,94929
34,2,411368
12,44,306580
42,13,65060
2,13,728075
22,46,97076
13,4,637221
41,49,204
42,27,3971
22,47,52278
38,33,43336
47,26,347
22,37,156566
39,10,486178
37,18,136783
10,36,440400
13,45,250402
26,15,135434
17,3,224309
13,21,193609
21,13,190615
19,26,126290
2,33,382023
15,26,132360
43,12,61018
26,17,268834
10,26,191614
10,49,58671
38,3,221763
17,35,282
33,21,100769
19,9,296984
1,30,341980
45,1,390436
15,42,318953
26,43,103876
26,47,232
21,33,106691
17,37,130582
37,17,132298
18,13,377889
15,9,567439
16,15,147932
21,43,99067
28,21,84946
7,18,630730
21,35,45908
21,28,86507
27,19,307672
42,15,322672
19,27,306019
15,34,74898
22,15,228966
15,22,228112
20,15,118339
35,32,80
45,12,72239
17,26,273842
45,38,114
14,42,230289
35,49,859
22,13,199529
32,26,38013
43,14,63434
38,43,895
43,38,451
38,35,1862
49,22,72852
44,2,60
22,49,73963
4,35,250
7,2,550581
25,22,2991
47,22,53855
39,45,104
4,43,233946
43,4,227770
13,26,250481
10,2,734134
43,49,297
35,4,166
44,42,762
24,43,48705
33,46,579
35,50,7455
43,39,594
22,33,190527
33,22,187834
35,47,135
50,22,95892
33,37,78767
2,42,123990
42,50,102000
36,13,52504
39,36,314
46,43,308
30,49,17268
38,42,595
22,45,214
35,42,7695
10,46,63187
37,42,1002
23,46,311
47,27,150452
39,46,317
14,13,205476
24,42,185238
32,24,102
29,38,121319
25,42,130324
3,16,630895
49,35,673
16,43,49117
23,13,221140
45,32,17
49,4,217158
38,50,7446
38,7,243504
33,30,190542
42,8,230284
34,33,20482
49,15,64918
33,12,50941
28,14,215979
33,16,110274
43,16,48457
45,39,31
44,25,150991
33,5,103977
5,28,252150
9,42,534
9,38,42986
12,6,401103
39,12,78
25,44,153126
36,35,38671
45,36,45
6,49,99706
9,28,211938
33,14,145032
49,9,59962
33,6,262803
22,11,89983
13,29,79653
11,22,93975
15,23,230957
12,23,204631
38,4,203873
11,46,39324
12,33,51609
24,4,492343
28,9,220366
4,39,31414
14,3,426533
26,46,90679
10,45,52706
11,12,773574
43,36,303
5,49,42388
2,46,283103
22,10,93436
46,10,60060
43,23,45480
22,5,207309
6,14,198471
13,2,730205
2,27,349231
47,36,140
10,22,95965
22,43,136692
43,22,131686
9,43,232370
5,13,631289
6,33,271965
43,11,9086
23,47,453
10,12,276558
22,2,199285
34,36,37347
1,39,81014
30,50,311
22,21,55844
7,10,253478
17,11,874821
5,22,210690
19,11,183511
8,50,121290
26,19,122576
14,4,665702
47,28,86120
17,45,41250
4,29,139
25,19,203370
43,29,224365
7,21,309778
19,42,284956
19,20,359838
2,1,777659
7,15,466264
10,33,78010
14,6,195508
34,32,40242
32,34,40225
14,39,3292
33,10,78096
10,28,140425
32,38,129
43,32,8268
7,23,55934
23,7,55337
20,3,371794
3,11,457919
25,23,52007
4,22,600254
23,43,42902
5,24,335662
13,7,506883
25,10,61441
12,32,109752
17,43,35087
43,6,208827
20,43,50594
32,7,56090
13,10,237675
10,25,61695
47,5,89839
10,7,252857
10,13,228042
23,20,30694
32,46,40
38,6,83586
24,23,97455
21,19,230538
17,2,167126
6,38,84906
44,17,433294
10,41,393853
43,10,120616
41,10,394467
10,43,116515
21,20,88804
2,25,320086
20,21,87539
26,10,192998
43,27,83360
10,14,337245
17,44,424098
9,17,330007
10,19,288324
17,9,309934
1,36,127940
14,10,338128
18,21,152
21,17,304819
42,1,479456
36,1,130970
1,42,468873
42,19,289425
8,21,105602
21,8,109769
32,17,130322
50,6,130552
42,38,226
45,14,34303
21,27,52231
7,22,463635
42,24,190951
43,5,133400
22,18,303622
49,5,39382
23,27,829
22,42,90032
9,20,43940
21,42,156
20,49,117854
13,12,538902
25,47,91794
41,45,437
40,13,63
50,47,176
44,13,116599
10,47,27308
25,37,127179
32,33,4261
2,3,703796
13,47,101422
13,46,80113
41,3,379863
23,3,465503
11,33,677
6,46,191258
23,4,338425
31,34,24399
34,31,23759
45,17,44612
23,1,302566
10,24,143547
38,11,45609
11,38,48193
22,6,53252
33,2,404511
4,49,217147
25,38,133399
33,38,47695
40,14,412
40,1,1322
4,9,722143
19,40,1463
32,29,61271
29,49,149361
14,40,237
27,45,39436
24,32,151
42,44,100
25,35,123328
48,6,117553
40,36,308
44,38,33164
28,6,203468
29,42,133374
36,33,30795
40,43,40612
6,42,4010
33,40,2416
28,42,43154
3,2,707602
24,2,302017
31,2,98690
24,13,181085
5,47,93216
10,40,305431
48,10,271055
10,48,262567
45,10,51700
48,32,95345
23,31,235400
14,23,169174
32,27,737
9,7,236700
11,42,10738
48,5,525564
2,40,234599
37,10,55250
49,10,57401
14,32,54111
32,49,166
10,8,154160
10,37,56468
14,33,137638
49,28,86680
6,12,395043
40,47,57
25,33,116958
25,4,283481
25,3,172072
24,36,61
30,33,194653
47,13,96043
4,23,330633
47,23,66
49,23,66
49,2,179877
23,33,52053
1,33,376801
13,42,62579
27,26,140183
44,15,24506
11,3,440359
26,32,37292
7,35,236590
6,43,210459
49,42,58633
46,6,191496
38,10,104564
44,1,198149
10,38,106502
10,27,122456
32,19,56583
17,42,147051
21,49,165
32,47,168
4,6,733408
20,50,76869
43,8,147270
16,18,810579
25,49,116777
46,37,2256
30,39,76972
8,49,223271
37,3,308816
30,8,35734
8,2,348457
20,32,7387
35,20,119567
28,32,84
32,28,85
32,20,7182
26,20,152453
15,20,115646
12,26,204064
8,26,249789
8,5,356407
5,8,369805
50,40,107
40,50,114
35,27,134176
27,35,137787
46,32,154
30,16,72507
28,45,79951
50,30,162
5,33,98649
25,2,322905
43,7,186249
7,43,184949
4,40,17090
29,39,53831
40,35,74006
35,40,74164
25,40,57
27,18,337475
18,25,75865
9,25,106795
36,31,133458
38,30,47405
3,7,640511
33,11,334
3,37,309908
3,27,368768
27,3,365566
22,50,97495
42,22,89903
46,22,96963
41,19,11366
1,40,1088
27,10,123350
4,38,210931
36,24,179
21,14,156543
22,7,451682
9,14,248860
11,25,39928
31,28,457
28,31,461
33,13,71083
49,43,311
25,5,156323
6,17,433595
31,21,78415
28,43,127023
27,47,146373
46,2,273490
27,46,116084
2,43,411137
13,14,205417
9,48,127382
48,33,238
3,48,128150
12,3,399594
13,39,43226
39,13,41738
6,37,137063
37,39,149
27,43,83324
43,9,227306
39,43,172
4,47,286417
39,8,9601
47,20,139581
6,13,541604
19,31,2619
31,19,2659
7,9,234184
36,48,97763
31,13,92073
15,31,62457
31,15,64739
5,25,157893
39,3,126435
5,38,87951
43,3,275705
3,9,597866
7,47,295519
29,25,172901
47,32,78
29,7,344995
9,33,232236
43,25,73379
44,4,92884
35,38,1814
22,25,269
42,6,4028
41,36,274807
21,38,54412
38,21,51945
36,17,45948
42,14,234402
32,31,125694
22,32,41598
32,22,43816
10,20,77869
20,10,73111
21,22,57447
48,36,91444
17,40,6
48,4,61799
4,48,59236
43,37,40462
15,41,82788
32,3,279149
44,14,208805
15,44,22047
24,10,140004
20,23,29802
27,21,55608
47,10,26210
22,14,717063
18,29,213251
42,47,129502
45,29,83860
42,4,340916
26,22,49055
30,18,169156
26,12,198114
2,18,564487
29,10,67935
29,40,85620
36,12,40882
13,43,81223
13,33,72303
3,46,203915
46,3,196506
7,46,242355
46,13,76828
3,42,169716
32,43,7905
40,4,17759
12,40,14686
40,12,15553
22,4,596969
28,22,224942
22,3,393136
33,8,216828
3,39,125644
8,13,254074
8,43,145627
33,3,226211
33,45,42664
3,22,399341
49,13,87759
16,22,446356
47,38,11190
43,35,79882
3,36,205659
36,23,606514
43,26,105067
16,3,617425
47,37,4602
43,13,81236
45,42,73
2,47,257376
13,22,215093
14,37,77746
37,14,79495
12,9,340891
42,2,123778
13,23,217963
49,11,34247
36,4,137026
13,32,100845
13,36,52217
38,13,74468
47,42,129234
8,9,383171
8,42,226202
3,8,511644
47,3,182445
3,44,60730
14,9,240048
37,33,78629
42,3,169004
44,8,121962
3,20,376162
49,45,127
8,44,118465
46,9,188540
14,44,205906
