origin,destination,passengers
189,102,2
102,189,45
7,26,421065
106,177,2
27,33,98396
33,27,95991
24,145,6
335,63,2
5,140,2
7,32,219168
62,53,75
121,229,2
29,59,169450
102,73,2
20,78,78374
389,91,2
39,341,10
124,54,2
76,427,2
427,76,2
89,27,15725
427,125,2
102,125,2
427,57,7
56,24,76222
173,157,2
463,27,2
83,161,62
166,28,2
14,367,2
29,107,71836
427,166,9
219,478,7
135,12,2
106,114,2
46,145,2
335,38,526
401,7,97
69,478,2
478,69,2
56,166,153
226,159,2
102,74,1364
74,102,1305
4,182,4391
27,25,226661
31,5,416968
10,412,2
382,38,2
114,31,17301
38,412,7
40,140,2
155,38,2
178,289,2
29,28,261939
52,121,2
243,70,2
70,243,2
182,39,2
182,10,3188
327,55,2
55,327,4
341,29,2
49,52,13436
182,106,4
91,402,2
33,14,73388
335,341,2
341,335,2
194,3,1522
3,194,1380
115,32,2
32,115,2
27,401,59
95,437,2
173,114,4
304,52,2
173,51,2
102,229,7
3,145,16785
229,102,2
184,12,7136
478,389,2
14,102,42
401,32,50
24,109,2
65,26,88506
102,52,152999
52,123,2
89,149,2
115,19,27846
19,102,90412
60,5,121063
162,184,2
29,66,142
102,60,17
60,102,4
52,194,2
145,229,9
229,145,11
72,243,4
89,401,2
2,40,391357
109,427,13
427,109,2
145,53,2
51,44,402
15,76,7641
29,40,44716
25,78,70617
89,43,4
43,89,2
25,478,56
83,304,2
34,83,2
60,266,2
5,14,526115
401,36,2
198,482,2
478,304,2
34,478,42
478,34,35
289,173,4
60,177,2
34,102,2
102,34,41
95,478,15
478,95,2
25,39,48708
39,25,44143
114,178,2
39,14,115
1,102,2
13,25,162760
161,427,34
33,219,2
77,24,130
85,136,4
102,20,38
91,101,2
219,102,2
78,166,2
51,7,116
7,51,101
427,77,2
57,40,2
33,83,52
294,38,2
51,33,2
38,33,114
33,39,72
39,33,68
427,51,20
427,478,345
478,427,401
114,23,2
114,152,2
102,38,4
38,102,14
79,478,3
51,243,2
243,51,2
8,127,2
335,30,23
56,56,3
155,412,14
412,155,11
460,400,3
90,263,88
445,207,3
429,30,6984
266,400,3
366,13,3
13,366,3
400,85,3
413,96,3
96,413,5
149,243,3
243,149,3
86,85,565
366,17,3
17,366,3
102,79,50
198,40,3
40,198,3
23,149,3
426,115,3
13,17,383855
17,13,379371
427,86,3
13,145,7030
24,102,154
276,225,6
17,400,3
426,427,3
427,33,85
266,427,10
194,413,7
427,90,9
102,90,31
90,102,27
427,118,3
90,23,39706
33,115,5
115,33,5
86,24,84831
65,23,50542
172,100,3
28,81,542
86,243,3
432,102,22
172,102,25
96,152,3
405,278,3
102,48,205
48,102,166
115,376,8
376,115,3
127,396,5
427,354,3
53,37,217
37,102,281
65,121,3
219,335,19
124,102,3
54,256,3
120,6,11296
256,194,3
137,333,3
103,453,3
59,25,72525
426,37,3
37,426,3
57,36,14079
18,60,50858
102,162,3
146,102,10
102,57,6678
335,178,3
427,214,3
107,25,16616
28,427,72
427,28,53
427,74,29
347,58,3
344,470,30
28,102,21
335,177,30
63,59,282
71,177,3
83,106,3305
107,24,3910
56,350,3
7,34,94
14,208,3
315,478,3
120,348,3
348,120,3
335,83,65
427,52,565
74,44,122
102,482,3
109,152,3
427,241,3
109,186,3
53,145,3
460,52,3
29,4,183602
100,411,3
114,29,5
360,427,3
427,360,3
482,198,6
36,20,48194
102,25,64
33,43,58890
43,33,63651
411,427,3
427,411,8
25,400,3
182,23,128
427,182,21
182,400,3
176,427,3
427,91,13
136,26,11
427,5,51
19,4,278026
68,10,160692
38,164,3
31,427,9
102,478,37
30,335,23
281,302,16558
429,291,4
281,43,12751
47,451,4
102,149,4
149,102,4
352,281,6294
281,352,7117
352,324,8665
207,445,17
335,423,29
423,335,24
173,287,4
350,96,4
194,54,11
54,194,4
427,113,4
111,102,4
400,243,4
86,427,4
17,194,21806
401,145,4
113,86,4
86,113,190
118,426,4
426,118,4
470,5,88
243,118,8
138,400,4
400,138,4
93,27,4661
80,280,4
130,13,4104
13,130,3459
65,17,65942
50,65,118
177,40,3132
350,86,4
124,33,2490
10,51,199200
37,23,164973
66,57,7092
339,315,4
432,86,4
86,432,4
50,135,4
33,243,4
243,33,4
124,130,1344
482,28,183
400,33,32
66,243,4
416,184,4
104,427,16
65,194,7
184,339,4
102,124,4
256,54,4
57,455,4
478,183,4
73,102,4
427,93,12
348,80,4
80,348,4
102,121,4
29,27,220582
401,50,342
50,401,129
82,105,4
77,177,4
214,427,4
28,204,4
214,102,13
470,344,34
140,40,9
77,67,469
182,280,4
420,72,4
136,10,7129
10,161,12441
105,91,4
50,41,78494
182,335,4
23,15,471907
482,26,5
102,72,1296
72,102,1051
43,124,11
182,130,4
102,161,22
184,401,4
100,114,4
